title,author,genre,image,link
Veronika Decides to Die,Paulo Coelho,Fiction,https://covers.openlibrary.org/b/id/8232011-L.jpg,https://www.amazon.in/s?k=Veronika+Decides+to+Die
Atomic Habits,James Clear,Self Help,https://covers.openlibrary.org/b/id/10521270-L.jpg,https://www.amazon.in/s?k=Atomic+Habits
Rich Dad Poor Dad,Robert Kiyosaki,Finance,https://covers.openlibrary.org/b/id/240726-L.jpg,https://www.amazon.in/s?k=Rich+Dad+Poor+Dad
Think and Grow Rich,Napoleon Hill,Finance,https://covers.openlibrary.org/b/id/8232012-L.jpg,https://www.amazon.in/s?k=Think+and+Grow+Rich
The Psychology of Money,Morgan Housel,Finance,https://covers.openlibrary.org/b/id/8232013-L.jpg,https://www.amazon.in/s?k=Psychology+of+Money
Ikigai,Hector Garcia,Self Help,https://covers.openlibrary.org/b/id/9251996-L.jpg,https://www.amazon.in/s?k=Ikigai
Deep Work,Cal Newport,Self Help,https://covers.openlibrary.org/b/id/8232014-L.jpg,https://www.amazon.in/s?k=Deep+Work
The Power of Habit,Charles Duhigg,Self Help,https://covers.openlibrary.org/b/id/8232015-L.jpg,https://www.amazon.in/s?k=Power+of+Habit
Can't Hurt Me,David Goggins,Self Help,https://covers.openlibrary.org/b/id/8232016-L.jpg,https://www.amazon.in/s?k=Cant+Hurt+Me
12 Rules for Life,Jordan Peterson,Self Help,https://covers.openlibrary.org/b/id/8232017-L.jpg,https://www.amazon.in/s?k=12+Rules+for+Life
Sherlock Holmes,Arthur Conan Doyle,Mystery,https://covers.openlibrary.org/b/id/8232020-L.jpg,https://www.amazon.in/s?k=Sherlock+Holmes
The Hound of the Baskervilles,Arthur Conan Doyle,Mystery,https://covers.openlibrary.org/b/id/8232021-L.jpg,https://www.amazon.in/s?k=Hound+of+the+Baskervilles
Murder on the Orient Express,Agatha Christie,Mystery,https://covers.openlibrary.org/b/id/8232022-L.jpg,https://www.amazon.in/s?k=Murder+on+the+Orient+Express
And Then There Were None,Agatha Christie,Mystery,https://covers.openlibrary.org/b/id/8232023-L.jpg,https://www.amazon.in/s?k=And+Then+There+Were+None
The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,https://covers.openlibrary.org/b/id/8232024-L.jpg,https://www.amazon.in/s?k=Girl+with+the+Dragon+Tattoo
Dune,Frank Herbert,Sci-Fi,https://covers.openlibrary.org/b/id/8232030-L.jpg,https://www.amazon.in/s?k=Dune
Foundation,Isaac Asimov,Sci-Fi,https://covers.openlibrary.org/b/id/8232031-L.jpg,https://www.amazon.in/s?k=Foundation+Asimov
I, Robot,Isaac Asimov,Sci-Fi,https://covers.openlibrary.org/b/id/8232032-L.jpg,https://www.amazon.in/s?k=I+Robot+Asimov
Neuromancer,William Gibson,Sci-Fi,https://covers.openlibrary.org/b/id/8232033-L.jpg,https://www.amazon.in/s?k=Neuromancer
The Martian,Andy Weir,Sci-Fi,https://covers.openlibrary.org/b/id/8232034-L.jpg,https://www.amazon.in/s?k=The+Martian
Project Hail Mary,Andy Weir,Sci-Fi,https://covers.openlibrary.org/b/id/8232035-L.jpg,https://www.amazon.in/s?k=Project+Hail+Mary
Pride and Prejudice,Jane Austen,Romance,https://covers.openlibrary.org/b/id/8232040-L.jpg,https://www.amazon.in/s?k=Pride+and+Prejudice
Sense and Sensibility,Jane Austen,Romance,https://covers.openlibrary.org/b/id/8232041-L.jpg,https://www.amazon.in/s?k=Sense+and+Sensibility
Jane Eyre,Charlotte Bronte,Romance,https://covers.openlibrary.org/b/id/8232042-L.jpg,https://www.amazon.in/s?k=Jane+Eyre
Wuthering Heights,Emily Bronte,Romance,https://covers.openlibrary.org/b/id/8232043-L.jpg,https://www.amazon.in/s?k=Wuthering+Heights
Me Before You,Jojo Moyes,Romance,https://covers.openlibrary.org/b/id/8232044-L.jpg,https://www.amazon.in/s?k=Me+Before+You
The Fault in Our Stars,John Green,Romance,https://covers.openlibrary.org/b/id/8232045-L.jpg,https://www.amazon.in/s?k=Fault+in+Our+Stars
The Notebook,Nicholas Sparks,Romance,https://covers.openlibrary.org/b/id/8232046-L.jpg,https://www.amazon.in/s?k=The+Notebook
It Ends with Us,Colleen Hoover,Romance,https://covers.openlibrary.org/b/id/8232047-L.jpg,https://www.amazon.in/s?k=It+Ends+with+Us
